name,ra,dec,lii,bii,cluster_radius,pm_ra,pm_dec,rad_vel,rad_vel_error,num_cluster_stars,distance
DBSB 79,192.195,-63.728,302.638,-0.858,  0.085, -11.45,   3.81,,,     62,    1489
Teutsch 79,200.915,-63.638,306.5,-0.99,  0.100,  -7.04,  -1.50,,,     49,    1461
Saurer 4,183.502,-63.59,298.784,-1.02,  0.045,  -7.38,  -0.61,,,     16,    5179
IC 2948,174.803,-63.51,294.981,-1.759,  0.170,  -4.46,  -1.13,   -0.33,    2.30,    130,    2796
Ruprecht 94,172.635,-63.48,294.047,-2.012,  0.230,  -5.06,   0.59,    2.00,    1.80,    360,    2932
Melotte 105,169.92,-63.475,292.899,-2.405,  0.160,  -5.93,   1.69,    0.37,    0.21,    178,    2202
NGC 5155,202.47,-63.455,307.211,-0.903,  0.165,  -7.68,   0.20,  -37.10,,    108,    1404
FSR 1616,187.327,-63.43,300.46,-0.664,  0.130,  -6.81,  -1.77,,,    142,    1963
NGC 5045,198.63,-63.42,305.511,-0.664,  0.315,  -7.00,  -0.31,  -16.76,    7.22,    409,    1662
Platais 12,208.148,-63.405,309.713,-1.341,  0.570,  -8.05,  -4.62,  -11.99,    9.51,    751,     491
Loden 1375,221.085,-63.405,315.176,-3.249,  0.145,  -6.87,  -0.08,,,    103,    1819
vdBergh-Hagen 131,186.54,-63.4,300.107,-0.667,  0.090,  -7.56,   3.45,,,     71,    4430
vdBergh-Hagen 121,174.525,-63.338,294.814,-1.628,  0.165,  -5.86,   0.52,   -3.76,    2.49,    143,    2937
vdBergh-Hagen 150,204.472,-63.32,308.118,-0.917,  0.100, -11.90,  -3.59,,,     69,    1537
DBSB 69,173.452,-63.285,294.337,-1.716,  0.070,  -1.96,  -0.81,,,     25,    2273
DBSB 75,182.231,-63.27,298.173,-0.792,  0.080, -10.91,   6.06,   28.83,,     54,    4564
FSR 1622,189.495,-63.26,301.419,-0.428,  0.125, -13.76,  -0.25,,,    110,    6017
NGC 4052,180.315,-63.215,297.314,-0.892,  0.150,  -7.24,  -1.44,,,    197,    1210
SAI 118,205.792,-63.16,308.732,-0.872,  0.140,  -7.10,  -1.44,,,    162,    1602
Ruprecht 88,154.7,-63.137,286.652,-5.197,  0.130,  -8.25,  -0.10,,,     80,    1876
DBSB 68,172.218,-63.105,293.752,-1.714,  0.070,  -9.49,   5.23,,,     29,    1777
Hogg 15,190.898,-63.098,302.044,-0.24,  0.075,  -6.55,  -1.00,   55.00,    7.40,     67,    3078
FSR 1653,203.46,-63.04,307.716,-0.563,  0.120,  -9.78,  -0.96,,,     83,    3258
Ruprecht 101,182.393,-63.005,298.202,-0.518,  0.190,  -4.66,   1.07,,,    231,    2856
Dias 4,205.854,-63,308.792,-0.721,  0.130, -10.28,  -0.45,,,     68,    2155
NGC 4609,190.575,-62.99,301.895,-0.137,  0.155,  -7.57,  -1.36,   22.00,    7.00,    149,    1308
IC 2944,174.053,-62.95,294.499,-1.316,  0.200,  -7.04,  -1.07,   -0.90,    6.00,     88,    2098
NGC 5281,206.64,-62.925,309.157,-0.721,  0.215,  -5.60,  -2.60,  -18.52,    0.75,    371,    1211
DBSB 129,183.863,-62.91,298.848,-0.324,  0.050,  -3.66,   1.52,,,     38,    6976
NGC 5269,206.183,-62.892,308.96,-0.646,  0.160,  -7.03,  -1.19,,,    190,    1634
Loden 1373,220.395,-62.89,315.107,-2.651,  0.170,  -5.57,   0.10,,,     89,    3412
MWSC 5696,272.815,-62.815,331.447,-19.554,  0.120,  -0.40,  -7.37,,,     36,    2308
Trumpler 21,203.055,-62.8,307.573,-0.296,  0.160, -10.40,  -4.50,  -32.90,,    144,    1270
IC 2714,169.365,-62.74,292.406,-1.805,  0.195,  -8.00,   1.50,  -14.10,    0.30,    494,    1224
Ruprecht 102,183.39,-62.73,298.609,-0.177,  0.160,  -6.98,   0.43,,,    252,    1609
FSR 1591,174.24,-62.723,294.516,-1.074,  0.115,  -7.66,   0.46,,,     78,    1538
Ruprecht 97,179.347,-62.71,296.782,-0.485,  0.090,  -3.89,  -2.47,  -14.90,    0.16,     47,    1537
Danks 1,198.127,-62.708,305.345,0.065,  0.050, -12.86,  -0.99,,,     20,    1873
NGC 3036,147.315,-62.67,283.66,-6.83,  0.140,  -9.76,   4.68,   11.78,    0.75,     74,    1268
Danks 2,198.225,-62.667,305.393,0.102,  0.065, -12.51,  -1.98,,,     26,    2231
DBSB 85,199.613,-62.665,306.027,0.044,  0.065, -15.70,   2.00,,,     33,    2024
FSR 1595,176.752,-62.65,295.609,-0.698,  0.140,  -3.48,  -1.28,    0.00,    7.40,    196,    4416
Ruprecht 100,181.44,-62.617,297.707,-0.21,  0.155,  -7.22,   1.13,,,    111,    2589
Teutsch 77,178.373,-62.605,296.322,-0.479,  0.110,  -4.08,  -0.55,,,     42,    1920
Ruprecht 112,224.235,-62.573,316.829,-3.137,  0.160,  -7.00,  -0.94,,,    195,    1764
Stock 14,175.95,-62.52,295.218,-0.666,  0.170,  -5.82,   1.20,   -8.58,    1.96,    199,    2454
Lynga 15,175.56,-62.51,295.042,-0.703,  0.125,  -4.97,  -1.21,   -8.20,    1.80,     97,    1380
Loden 807,201.157,-62.495,306.754,0.13,  0.180,  -6.50,  -0.50,   -0.10,    0.10,    195,     703
DBSB 60,166.404,-62.485,291.047,-2.081,  0.055, -10.49,   4.76,,,     32,    3740
FSR 1659,204.504,-62.485,308.282,-0.098,  0.160, -11.91,  -0.18,,,    186,    1764
Loden 467,176.375,-62.433,295.386,-0.531,  0.115,  -6.90,  -0.90,,,     68,    2569
Bica 5,175.395,-62.425,294.946,-0.641,  0.105,  -2.87,  -2.15,,,     91,    1687
C1331-622,203.655,-62.417,307.907,0.037,  0.120,  -7.61,   0.93,,,    116,    1078
DBSB 133,198.5,-62.402,305.541,0.355,  0.110, -14.46,   0.57,  -31.25,,    100,    2927
ASCC 75,206.812,-62.4,309.346,-0.225,  0.160,  -4.70,  -1.15,  -15.00,    3.70,    181,    2948
Basel 18,201.968,-62.33,307.148,0.243,  0.155,  -5.76,  -4.63,  -21.99,    3.02,     57,    2226
FSR 1586,170.67,-62.32,292.825,-1.203,  0.140,  -7.16,   5.01,,,    140,    2863
Ruprecht 162,163.208,-62.305,289.625,-2.538,  0.135,  -2.44,   4.78,   -0.30,,     34,    3019
DBSB 70,177.135,-62.285,295.691,-0.301,  0.080,  -7.65,  -2.90,,,     42,    1274
SAI 116,177.322,-62.225,295.761,-0.222,  0.100,  -7.90,  -1.13,,,     70,    2382
MWSC 5697,276.15,-62.195,332.635,-20.783,  0.125,  -0.66,  -9.21,,,     64,    1496
ESO 132-14,204.135,-62.19,308.166,0.223,  0.100, -10.60,  -0.80,,,     89,    1093
Ruprecht 96,177.697,-62.15,295.914,-0.107,  0.125,  -5.34,  -0.58,,,     98,    1251
Lynga 1,210,-62.15,310.846,-0.336,  0.155,  -8.45,  -0.44,  -24.31,    0.52,    197,    1312
FSR 1630,192.18,-62.135,302.614,0.735,  0.135,  -9.42,  -2.54,,,    145,    2368
Pismis 18,204.232,-62.065,308.233,0.338,  0.150,  -8.25,  -1.70,,,    125,    2309
Loden 991,206.317,-62.035,309.197,0.18,  0.110, -11.17,  -2.17,,,    149,    2628
Loden 1339,218.371,-62.017,314.595,-1.478,  0.095,  -7.42,  -1.30,,,     56,    1278
FSR 1645,200.28,-61.925,306.417,0.746,  0.170,  -9.82,  -0.45,,,    264,    1278
NGC 4349,186.06,-61.87,299.732,0.833,  0.205,  -9.57,  -1.75,  -14.98,    3.01,    390,    2155
NGC 5316,208.485,-61.87,310.228,0.113,  0.260,  -6.30,  -0.62,  -15.10,    0.28,    570,    1208
DBSB 78,189.015,-61.855,301.119,0.963,  0.070,  -8.51,  -6.08,  -35.61,,     25,    4569
Loden 213,159.037,-61.837,287.679,-3.04,  0.125,  -5.88,   3.54,,,     74,    1876
Loden 624,186.577,-61.8,299.968,0.927,  0.320,  -9.20,  -1.94,    8.00,,    999,    1423
FSR 1669,209.07,-61.75,310.525,0.162,  0.120,  -8.55,  -0.05,,,    140,    1105
Loden 1101,209.542,-61.75,310.741,0.106,  0.155, -10.42,   0.83,,,    184,    2088
ESO 137-43,252.103,-61.75,327.388,-10.734,  0.090,   0.42,  -2.91,,,     50,    1659
Kronberger 39,163.559,-61.733,289.523,-1.951,  0.052,  -3.91,   6.07,,,      7,    4372
ESO 137-23,246.127,-61.733,325.505,-8.6,  0.130,  -0.19,  -4.71,,,     85,    1561
Bochum 12,164.34,-61.725,289.854,-1.785,  0.145,  -3.45,  -2.36,   -3.79,    0.80,     50,    2485
Loden 1409,221.167,-61.715,315.924,-1.733,  0.260,  -7.00,  -4.50,  -33.78,    0.29,    409,    2088
Ruprecht 92,163.38,-61.7,289.432,-1.959,  0.155,  -3.22,   2.78,  -15.29,    1.70,     58,    2211
DBSB 77,188.745,-61.654,300.979,1.155,  0.045, -12.07,  -4.16,  -35.80,,     30,    5417
NGC 3766,174.075,-61.615,294.126,-0.035,  0.230,  -6.00,  -0.10,  -14.80,    1.72,    366,    1685
Trumpler 11,151.226,-61.6,284.442,-4.86,  0.120,  -5.11,   0.30,,,     18,    3884
DBSB 80,192.595,-61.582,302.806,1.289,  0.070, -11.53,   0.82,  -17.00,    4.00,     32,    2132
Ruprecht 105,188.475,-61.575,300.846,1.226,  0.195,  -8.50,  -0.64,,,    312,    1250
FSR 1668,208.725,-61.575,310.409,0.372,  0.140, -10.42,  -1.23,,,    216,    1184
DBSB 66,169.11,-61.485,291.846,-0.675,  0.055, -11.49,   2.16,,,     47,    7511
vdBergh-Hagen 110,166.815,-61.46,290.821,-1.062,  0.085,  -0.52,   0.90,,,     23,    1879
FSR 1666,207.15,-61.455,309.706,0.663,  0.195,  -8.37,  -1.29,  -60.70,,    255,    2677
Loden 1256,214.5,-61.425,313.092,-0.273,  0.190,  -4.33,  -3.98,,,    302,    1226
Ruprecht 93,166.05,-61.37,290.449,-1.125,  0.135,  -5.08,   0.85,    5.07,    3.50,     84,    1619
Hogg 17,218.498,-61.347,314.908,-0.883,  0.125,  -2.82,  -4.48,,,    151,    1148
Collinder 272,202.583,-61.335,307.58,1.185,  0.205,  -4.50,  -2.00,  -32.20,    8.20,    359,    2095
Lynga 2,216.113,-61.33,313.85,-0.446,  0.200,  -6.25,  -6.50,   -9.94,    0.60,    413,     932
DBSB 62,167.835,-61.29,291.207,-0.718,  0.100,  -4.62,   4.33,  -15.65,,     45,    2187
Loden 481,177.96,-61.27,295.832,0.777,  0.235,  -5.30,   1.51,  -22.05,   14.95,    380,    1634
Ruprecht 161,152.295,-61.26,284.658,-4.285,  0.240,  -7.50,   3.50,    9.40,    3.70,    149,     976
Shorlin 2,166.387,-61.255,290.552,-0.955,  0.060,  -5.25,  -2.21,,,     11,    4129
NGC 4103,181.665,-61.25,297.573,1.155,  0.210,  -5.42,   0.98,  -12.00,    7.40,    421,    1659
Shorlin 1,166.579,-61.243,290.632,-0.907,  0.070,  -5.40,  -0.16,,,     38,    5594
Hogg 16,202.32,-61.212,307.473,1.326,  0.125,  -4.53,  -1.82,  -33.00,    6.16,     93,    2059
Alessi 5,160.83,-61.17,288.105,-2.042,  0.350, -12.50,   2.42,    8.25,    6.69,    183,     384
Trumpler 22,217.732,-61.165,314.636,-0.575,  0.150,  -5.06,  -4.20,,,    187,    1614
Ruprecht 95,175.912,-61.155,294.847,0.648,  0.080,  -4.87,  -3.99,,,     42,    1634
ASCC 65,167.745,-61.125,291.104,-0.581,  0.220,  -6.89,   1.20,  -13.40,    3.52,    184,    1934
Collinder 236,164.34,-61.12,289.596,-1.237,  0.200,  -2.82,   2.30,   12.76,    9.67,     66,     823
Loden 306,166.485,-61.12,290.541,-0.812,  0.180,  -6.09,   2.84,  -33.00,    4.60,     86,    1939
NGC 2609,127.383,-61.1,276.137,-12.748,  0.085,  -4.20,   5.10,,,     24,    1481
ESO 129-32,176.048,-61.058,294.885,0.759,  0.100,  -4.77,  -4.04,,,     57,    1560
ASCC 67,175.365,-61.01,294.554,0.718,  0.220,  -3.80,  -1.70,  -18.60,    7.60,    335,    1500
Hogg 8,157.32,-60.983,286.536,-2.72,  0.105,  -6.45,  -1.09,,,     45,    4078
NGC 5168,202.77,-60.94,307.729,1.562,  0.120,  -3.70,  -0.86,,,     76,    1727
ASCC 72,188.273,-60.93,300.704,1.862,  0.180,  -5.94,  -0.75,,,    140,    1229
Hogg 23,187.148,-60.925,300.158,1.824,  0.100,  -7.93,  -1.03,,,     85,    1250
ASCC 68,180.713,-60.92,297.06,1.397,  0.300,  -4.63,   3.00,,,    537,     920
ASCC 64,165.765,-60.915,290.139,-0.764,  0.190,  -5.60,   1.77,    1.40,    0.10,    163,    1700
Pismis 19,217.65,-60.885,314.704,-0.3,  0.120,  -1.08,  -1.82,,,    109,    1978
NGC 3590,168.258,-60.775,291.204,-0.164,  0.165,  -6.61,   1.55,   -7.33,    6.44,    247,    1660
Hogg 12,168.06,-60.765,291.111,-0.19,  0.080,  -7.04,   1.34,   -3.00,,     69,    1664
NGC 2516,119.49,-60.75,273.806,-15.866,  0.710,  -3.50,  10.20,   21.22,    1.08,    698,     373
Ruprecht 164,172.71,-60.75,293.241,0.596,  0.150,  -5.12,   1.95,   -3.00,    7.40,     70,    1297
Hogg 7,157.282,-60.745,286.397,-2.526,  0.085,  -7.94,  -0.06,,,     29,    4583
ASCC 84,238.732,-60.745,323.565,-5.451,  0.200,  -1.92,  -5.54,   -5.00,    0.01,    206,     884
MWSC 4486,291,-60.725,335.955,-27.347,  0.180,   5.19,  -7.74,,,     65,    2228
NGC 5617,217.447,-60.715,314.676,-0.106,  0.145,  -2.90,  -3.00,  -35.77,    0.47,    175,    1769
Teutsch 143a,167.19,-60.705,290.695,-0.296,  0.100,  -3.27,   2.29,   11.00,    3.70,     93,    4231
Loden 402,173.085,-60.705,293.403,0.695,  0.180,  -7.40,   0.90,   -3.00,    7.40,     98,    1513
Loden 172,156.96,-60.7,286.239,-2.57,  0.180,  -4.65,  -1.08,,,    108,    1415
