name,ra,dec,lii,bii,cluster_radius,pm_ra,pm_dec,rad_vel,rad_vel_error,num_cluster_stars,distance
FSR 1304,133.339,-14.785,241.343,18.67,  0.180,  -0.75,  -0.99,,,     55,    5168
FSR 1249,117.168,-14.7,232.592,5.569,  0.090,  -0.37,   1.05,,,     36,    2428
FSR 0043,266.483,-14.66,12.292,7.317,  0.085,  -5.82,  -4.31,,,     57,    4078
Dolidze 28,276.37,-14.65,16.97,-1.032,  0.150,   0.67,  -3.58,    0.60,,    114,    1258
Kharchenko 2,275.587,-14.585,16.673,-0.332,  0.190,  -0.07,  -0.33,,,     61,    3412
NGC 2422,114.165,-14.49,230.973,3.143,  0.630,  -6.63,   2.11,   36.72,    2.92,    460,     471
Kronberger 2,275.329,-14.283,16.822,0.03,  0.140,   1.09,   0.26,,,     24,    3197
Ruprecht 1,99.135,-14.193,224.015,-9.663,  0.140,   0.48,   0.44,,,     71,    1204
FSR 1212,106.909,-14.15,227.357,-2.896,  0.115,   0.93,   0.57,,,     57,    1780
MWSC 5060,152.618,-14.045,254.39,33.256,  0.190,  -2.83,  -3.76,,,     15,    1445
FSR 1245,117.487,-14.021,232.156,6.176,  0.110,  -2.23,  -0.06,   33.00,,     44,    1833
Basel 11A,109.278,-13.982,228.271,-0.781,  0.210,  -1.09,  -0.68,,,    187,    1537
NGC 2401,112.352,-13.972,229.671,1.853,  0.090,   2.01,   4.43,,,     61,    3778
MWSC 5726,298.358,-13.96,27.043,-19.925,  0.135,   0.11, -10.01,,,     45,    2038
FSR 0067,287.408,-13.9,22.469,-10.256,  0.140,   0.28,  -8.37,,,     87,    4079
NGC 2423,114.278,-13.85,230.466,3.549,  0.450,  -0.60,  -2.89,   21.67,    2.54,    428,     824
FSR 1227,112.98,-13.835,229.843,2.454,  0.125,  -1.51,   4.26,,,     47,    4500
FSR 1209,106.767,-13.82,227,-2.868,  0.170,  -0.89,  -2.49,,,     95,    2964
ASCC 40,113.415,-13.765,229.985,2.858,  0.155,  -1.13,  -1.12,,,     85,    3113
FSR 1226,113.216,-13.745,229.874,2.698,  0.105,  -1.33,  -2.88,,,     47,    2901
NGC 2318,104.87,-13.662,226.019,-4.437,  0.125,   0.54,   2.43,,,     77,    1713
FSR 1197,103.624,-13.658,225.469,-5.516,  0.105,   2.36,  -2.17,,,     39,    1634
Ruprecht 8,105.438,-13.56,226.178,-3.898,  0.115,   1.17,  -0.26,,,     67,    2190
DC 4,103.522,-13.555,225.332,-5.558,  0.075,   4.88,  -3.34,,,     23,    2304
MWSC 5295,233.662,-13.38,352.495,33.359,  0.170,  -4.26,  -4.50,,,     29,    1764
FSR 1207,106.882,-13.33,226.615,-2.543,  0.180,  -2.71,  -0.73,,,    165,    1928
Trumpler 32,274.298,-13.33,17.189,1.364,  0.370,   0.64,  -3.60,,,    382,    1623
FSR 0051,273.267,-13.325,16.715,2.248,  0.110,   1.13,  -9.43,,,     74,    4415
Ruprecht 6,103.98,-13.28,225.286,-5.037,  0.080,   0.66,   1.21,,,     36,    5919
NGC 2374,111,-13.27,228.428,1.031,  0.220,  -3.40,  -0.66,   27.20,    0.10,    157,    1394
FSR 1191,103.121,-13.235,224.868,-5.765,  0.110,   0.90,   0.33,,,     44,    3361
Berkeley 33,104.46,-13.22,225.443,-4.593,  0.125,   0.23,   1.82,   76.60,    0.50,     63,    4785
NGC 2345,107.062,-13.2,226.58,-2.328,  0.225,  -0.55,  -0.12,   59.19,    0.36,    293,    2605
Berkeley 36,109.083,-13.178,227.471,-0.574,  0.145,   3.31,   2.63,,,    154,    5041
Haffner 6,110.014,-13.15,227.87,0.241,  0.135,   0.36,   4.16,,,     75,    3320
NGC 6639,277.74,-13.14,18.926,-1.508,  0.170,   1.99,  -1.80,    7.00,    1.80,    119,     765
Bica 3,276.516,-13.05,18.452,-0.411,  0.100,  -1.33,  -5.15,,,     18,    1614
NGC 2413,113.265,-12.99,229.235,3.103,  0.185,  -0.47,   1.61,,,    126,    1341
FSR 1195,104.82,-12.95,225.36,-4.158,  0.165,   0.36,   2.60,,,    114,    3150
MWSC 5732,301.027,-12.928,29.192,-21.869,  0.160,   1.48,  -7.78,,,     48,    2203
FSR 1204,107.073,-12.89,226.309,-2.177,  0.140,   1.92,  -0.11,,,     74,    1706
NGC 2539,122.67,-12.84,233.732,11.113,  0.440,  -2.28,  -1.91,   26.12,    1.70,    455,    1232
FSR 1202,106.845,-12.783,226.112,-2.325,  0.115,  -3.47,   2.34,,,     43,    2436
Ruprecht 24,112.98,-12.765,228.903,2.968,  0.170,   1.03,   1.56,,,    135,    1706
FSR 1199,106.575,-12.57,225.802,-2.461,  0.135,  -0.20,   1.97,,,     91,    1188
FSR 1200,106.995,-12.464,225.896,-2.048,  0.170,  -0.40,   2.47,,,    119,    1297
Ruprecht 141,277.829,-12.326,19.688,-1.209,  0.100,  -1.79,  -1.27,   30.70,    1.80,     71,    3381
MWSC 5811,345.765,-12.315,57.856,-60.615,  0.240,   7.41,   0.85,,,     18,    1261
Haffner 8,110.793,-12.308,227.485,1.307,  0.160,  -0.92,   0.62,,,    108,    1197
Dias 6,277.635,-12.305,19.619,-1.031,  0.155,   0.00,  -3.18,,,    144,    1916
NGC 6604,274.507,-12.238,18.248,1.701,  0.265,  -0.22,  -2.70,    9.60,    7.05,    260,    1895
FSR 1123,87.922,-12.22,217.383,-18.706,  0.130,   2.50,  -3.15,,,     25,    2268
Ruprecht 142,278.055,-12.215,19.888,-1.354,  0.100,  -2.88,  -5.67,,,     34,    1802
MWSC 5735,302.34,-12.185,30.495,-22.728,  0.125,   0.80,  -2.04,,,     27,    1970
Ruprecht 143,278.149,-12.14,19.997,-1.401,  0.100,  -2.21,  -3.68,,,     39,    2062
Melotte 71,114.39,-12.055,228.946,4.516,  0.340,  -0.94,   4.72,   50.14,    0.14,    330,    2473
NGC 6631,276.813,-12.02,19.498,-0.187,  0.170,  -2.20,  -5.67,,,     49,    2972
FSR 1131,90.653,-12.018,218.37,-16.201,  0.145,  -0.13,   1.41,,,     42,    4432
FSR 1194,106.095,-12.005,225.084,-2.62,  0.185,  -0.36,  -0.60,,,    132,    1184
FSR 1185,104.903,-11.974,224.525,-3.644,  0.100,   2.15,   1.01,,,     56,    5374
FSR 0059,277.266,-11.967,19.751,-0.555,  0.125,  -2.41,  -3.61,,,     53,    1550
NGC 6625,275.697,-11.955,19.045,0.808,  0.165,  -1.72,  -3.43,,,     68,    1335
ASCC 92,267.78,-11.88,15.356,7.626,  0.230,  -6.63,  -5.53,,,    233,     644
FSR 0085,296.805,-11.855,28.4,-17.673,  0.115,  -1.41,  -5.88,,,     51,    1338
SAI 69,101.367,-11.79,222.8,-6.653,  0.070,   3.03,   2.83,,,     40,    7468
NGC 2396,112.028,-11.74,227.557,2.64,  0.200,  -1.30,  -1.94,   17.70,    0.90,     29,     545
Berkeley 76,106.665,-11.73,225.095,-1.998,  0.160,  -1.48,   2.69,,,    106,    2360
Ruprecht 135,269.514,-11.677,16.379,6.251,  0.080,   2.66,  -6.00,   -0.71,,     96,    3497
MWSC 5029,131.407,-11.655,237.495,18.931,  0.135,  -2.86,   3.00,,,     38,    1953
FSR 1192,106.458,-11.625,224.909,-2.13,  0.170,  -1.05,   2.42,,,    102,    2821
FSR 1132,92.085,-11.5,218.503,-14.711,  0.140,   4.54,   0.48,,,     47,    1892
FSR 0060,277.545,-11.5,20.291,-0.58,  0.145,   0.82,  -9.47,,,     50,    1257
MWSC 4606,316.53,-11.47,37.891,-35.047,  0.245,   2.55,  -4.59,,,     38,     956
FSR 1184,105.668,-11.435,224.385,-2.732,  0.110,   2.05,   1.36,,,     36,    6017
Ruprecht 144,278.377,-11.41,20.748,-1.262,  0.120,  -0.29,  -7.34,,,     42,    1649
MWSC 4555,304.387,-11.35,32.235,-24.201,  0.250,   7.11, -10.35,,,    116,    1740
FSR 1280,132.113,-11.21,237.519,19.753,  0.180,   0.82,  -4.39,,,     14,    1298
FSR 1172,103.908,-11.03,223.239,-4.086,  0.110,  -0.94,   3.06,,,     57,    2290
FSR 1220,115.927,-11.03,228.783,6.331,  0.170,   2.98,  -0.97,,,     80,    1410
FSR 1167,101.588,-10.985,222.171,-6.101,  0.130,   1.55,  -0.36,,,     75,    2325
NGC 2506,120,-10.76,230.553,9.936,  0.270,  -1.62,   2.14,   87.00,    2.50,    164,    3526
Collinder 466,106.734,-10.72,224.228,-1.474,  0.095,   0.64,   1.23,,,     32,    1037
Melotte 72,114.62,-10.7,227.865,5.369,  0.220,  -0.04,   0.48,,,    143,    3963
FSR 1178,106.35,-10.68,224.02,-1.791,  0.140,   2.11,   1.35,,,     72,    2375
MWSC 5963,85.987,-10.655,215.032,-19.765,  0.250,   0.09,  -2.18,,,     51,     430
FSR 1116,90.157,-10.64,216.857,-16.052,  0.170,   1.92,   1.61,,,     36,    1579
NGC 2343,107.017,-10.6,224.25,-1.172,  0.205,   0.00,   2.00,   14.89,    0.15,    177,    1029
FSR 0083,292.713,-10.578,27.818,-13.499,  0.085,  -0.29, -10.50,,,     37,    4213
BDSB 91,96.323,-10.555,219.473,-10.552,  0.150,   0.21,  -0.74,,,     47,    1918
Collinder 465,106.71,-10.52,224.04,-1.403,  0.175,   1.00,  -1.33,,,     78,    5410
Ruprecht 4,102.24,-10.51,222.033,-5.315,  0.170,   1.79,   2.17,   47.50,    1.00,    111,    4591
Alessi 10,301.182,-10.485,31.643,-20.983,  0.225,   1.00,  -7.57,   75.90,    2.60,     45,     513
NGC 2351,108.382,-10.48,224.764,0.074,  0.100,  -0.43,   2.54,,,     52,    5841
FSR 0042,258.525,-10.48,11.781,16.121,  0.120,  -3.35, -10.01,,,     67,    3320
FSR 0069,281.348,-10.46,22.928,-3.422,  0.130,  -0.60,  -5.67,,,     58,    1848
NGC 6649,278.34,-10.4,21.628,-0.764,  0.180,  -1.10,  -2.86,   -8.80,    0.80,    192,    1564
NGC 2368,110.272,-10.335,225.503,1.786,  0.125,   0.60,   4.36,,,     72,    4889
FSR 1171,105.045,-10.323,223.115,-2.77,  0.085,   4.70,  -1.26,,,     44,    4933
MWSC 5300,235.935,-10.3,357.008,33.924,  0.195,  -3.29,  -3.45,,,     33,    1506
FSR 1136,96.188,-10.265,219.149,-10.545,  0.150,   1.34,  -1.31,,,     56,    1287
NGC 2353,108.627,-10.25,224.672,0.394,  0.220,  -3.22,   1.36,   22.30,   10.30,    109,    1180
FSR 1151,99.293,-10.085,220.349,-7.722,  0.150,   1.60,   1.09,,,     79,    2864
NGC 2335,106.71,-10.03,223.604,-1.178,  0.310,   0.20,  -2.99,    8.70,    0.70,    394,    1411
Ruprecht 170,276.368,-10.015,21.068,1.134,  0.140,  -4.16,  -2.23,,,    144,    5785
Czernik 30,112.797,-9.94,226.332,4.162,  0.100,  -1.89,   0.94,,,     67,    6812
FSR 1183,108.339,-9.892,224.223,0.309,  0.190,  -1.47,  -0.57,,,    222,    1634
MWSC 5329,250.762,-9.84,7.842,22.831,  0.175,   1.28,  -3.01,,,     58,    1111
NGC 2225,96.656,-9.64,218.784,-9.856,  0.150,   1.31,  -1.97,,,     57,    3201
FSR 1211,115.38,-9.61,227.271,6.552,  0.155,   2.24,  -1.23,,,     57,    4332
FSR 1115,92.055,-9.58,216.702,-13.91,  0.160,   0.55,   3.41,,,     11,    1068
FSR 1173,107.187,-9.427,223.285,-0.483,  0.110,   0.66,   2.41,,,     60,    2883
FSR 1180,108.922,-9.41,224.063,1.042,  0.155,  -1.49,  -0.21,,,    117,    1000
NGC 6694,281.317,-9.38,23.878,-2.905,  0.165,  -2.29,  -3.24,    4.00,    7.40,    143,    1748
FSR 1120,93.51,-9.375,217.155,-12.529,  0.140,   4.61,   1.94,,,      9,     830
Alessi 21,107.67,-9.3,223.393,-0.002,  0.320,  -3.55,   2.95,   38.80,    1.80,    100,     596
FSR 1169,105.713,-9.255,222.465,-1.697,  0.170,   1.82,   1.09,,,    153,    1905
MWSC 4290,251.655,-9.195,8.96,22.477,  0.165,  -3.09,  -5.28,,,     44,    2628
MWSC 5062,153.09,-9.181,250.627,37.053,  0.120,  -1.93,   0.82,,,     12,    5232
FSR 1164,104.67,-9.165,221.915,-2.572,  0.100,   2.03,   2.10,,,     49,    1614
FSR 1221,119.447,-9.15,228.86,10.272,  0.140,  -0.64,   2.23,,,     49,    2569
FSR 0050,264.967,-9.11,16.381,11.407,  0.115,  -4.10,  -2.00,,,     55,    1764
FSR 1163,104.835,-9.083,221.916,-2.389,  0.090,   6.18,   1.74,,,     60,    1706
NGC 6728,284.685,-8.965,25.754,-5.685,  0.130,   1.92,  -2.10,,,     77,    1127
FSR 1110,92.22,-8.947,216.189,-13.487,  0.095,   2.12,   0.20,,,     22,    2025
FSR 1117,94.129,-8.945,217.033,-11.791,  0.110,   5.10,  -0.72,,,     26,    1209
Dolidze 27,249.105,-8.935,7.617,24.689,  0.225,  -1.79,  -2.26,,,     77,    2107
MWSC 5321,246.708,-8.927,6.08,26.609,  0.140,  -1.25,  -4.16,,,     36,    7655
FSR 1170,106.875,-8.865,222.645,-0.498,  0.150,   7.48,  -1.65,,,     79,    2276
Ivanov 4,105.157,-8.84,221.845,-1.995,  0.155,   5.19,  -1.15,,,    115,    2025
FSR 0041,255.877,-8.838,11.754,19.205,  0.160,  -2.51,  -1.55,,,     81,    4004
FSR 1159,104.478,-8.745,221.454,-2.549,  0.100,   2.30,  -0.85,,,     36,    1296
FSR 0062,273.45,-8.708,20.867,4.289,  0.120,  -7.50,  -9.14,,,    179,    3976
NGC 2349,107.677,-8.605,222.78,0.326,  0.145,   2.60,  -3.28,,,     96,    1819
FSR 0063,273.78,-8.45,21.25,4.124,  0.095,  -4.25, -10.49,,,    136,    3940
Trumpler 34,279.95,-8.415,24.121,-1.263,  0.180,  -4.14,  -7.01,,,     99,    1342
Dias 3,107.595,-8.395,222.556,0.35,  0.115,   3.99,  -1.22,,,     38,    7241
NGC 2323,105.68,-8.37,221.662,-1.321,  0.460,   0.50,  -1.75,    5.40,    0.30,    738,     902
NGC 6664,279.132,-8.21,23.932,-0.45,  0.140,  -2.52,  -2.00,   17.80,    1.00,     42,    1708
BDSB 93,104.295,-8.19,220.877,-2.458,  0.125,   3.26,   0.21,,,     45,    2173
FSR 1203,115.921,-8.02,226.13,7.791,  0.165,   1.62,   1.08,,,     77,    1935
FSR 1105,92.498,-7.985,215.425,-12.819,  0.135,   4.32,  -1.05,,,     52,    1581
FSR 1251,129.773,-7.54,232.912,19.848,  0.190,  -1.05,   1.08,,,     38,    2839
MWSC 5042,140.273,-7.475,239.305,28.477,  0.200,  -5.58,  -7.48,,,     19,    1762
FSR 1126,99.112,-7.32,217.774,-6.649,  0.155,   2.78,  -5.06,,,     73,    2201
NGC 2215,95.22,-7.295,216.011,-10.094,  0.325,   1.53,  -5.57,  -10.74,    0.66,    293,    1141
NGC 2309,104.02,-7.175,219.848,-2.239,  0.210,   1.58,  -1.23,,,    162,    2384
MWSC 5323,246.765,-7.17,7.712,27.6,  0.170,   2.94,  -6.94,,,     36,    1925
FSR 0072,278.812,-7.16,24.719,0.314,  0.140,   1.79,  -1.82,,,     64,    1668
FSR 1160,107.79,-7.117,221.511,1.112,  0.135,   1.09,   0.34,,,     56,    1031
NGC 2302,102.968,-7.08,219.288,-3.126,  0.170,  -0.20,  -1.96,,,    149,    1310
FSR 1107,95.097,-7.005,215.692,-10.074,  0.125,   1.40,  -4.28,,,     50,    3009
MWSC 5051,146.468,-7.005,243.276,33.618,  0.195,  -4.55,  -1.27,,,     28,    1365
FSR 1066,86.85,-6.865,211.823,-17.35,  0.220,   5.34,  -3.00,,,     86,    1656
Dolidze 31,278.745,-6.85,24.963,0.517,  0.115,   1.51,  -1.10,,,     93,    5163
FSR 1158,107.7,-6.78,221.171,1.189,  0.160,   0.70,  -1.05,,,    133,    1864
FSR 1144,104.316,-6.637,219.503,-1.732,  0.130,   0.84,   0.81,,,    131,    1737
Dolidze 29,277.849,-6.633,24.745,1.406,  0.230,  -0.73,  -1.15,,,    225,    1460
FSR 1150,106.153,-6.6,220.304,-0.092,  0.100,   1.42,  -1.99,,,     68,    5664
Morgan 8,84.112,-6.42,210.126,-19.586,  0.230,   2.03,  -2.39,,,     57,     314
FSR 1149,105.998,-6.385,220.042,-0.131,  0.110,   1.30,  -1.63,,,     78,    2972
FSR 1094,92.498,-6.32,213.896,-12.081,  0.160,   3.99,  -3.38,,,     61,    1627
Berkeley 73,95.516,-6.319,215.257,-9.396,  0.085,   3.47,  -1.72,   95.70,    0.20,     33,    7881
NGC 6705,282.747,-6.28,27.287,-2.759,  0.350,  -4.92,  -3.23,   32.53,    1.13,    475,    1750
ASCC 30,104.257,-6.215,219.1,-1.592,  0.150,  -2.40,  -0.01,,,     54,     814
NGC 6683,280.554,-6.2,26.365,-0.782,  0.110,  -1.32,  -4.07,,,     26,    1441
Haffner 3,106.028,-6.13,219.829,0.012,  0.110,   0.85,  -0.32,,,     98,    1925
FSR 1078,90.312,-6.085,212.686,-13.922,  0.180,   2.04,  -1.36,,,     54,    1661
IRAS 06046-0603,91.796,-6.065,213.344,-12.592,  0.155,   2.25,   2.28,,,     29,     799
Dolidze 30,278.22,-6.035,25.446,1.355,  0.100,   0.42,  -0.12,,,     40,    1569
Stephenson 2,279.915,-6.03,26.225,-0.14,  0.090,   2.69,  -7.00,,,     26,    1128
Basel 1,282.038,-5.865,27.336,-1.942,  0.100,   0.36,  -5.53,,,     47,    1604
Wit 1,105.094,-5.83,219.138,-0.675,  0.170,  -0.38,  -1.97,    5.00,,     47,    1952
NGC 2548,123.435,-5.77,227.893,15.388,  0.720,  -1.25,   1.30,   41.50,    0.30,    596,     789
NGC 2338,106.95,-5.717,219.884,1.017,  0.090,  -2.00,   0.37,,,     31,    1671
FSR 1153,108.593,-5.66,220.588,2.493,  0.145,  -2.40,   0.59,,,     54,    3095
ASCC 38,111.75,-5.545,221.954,5.327,  0.245,  -6.54,   1.50,,,     38,     569
FSR 1125,102.585,-5.47,217.679,-2.735,  0.110,   3.00,   0.92,,,     58,    2220
FSR 1050,85.485,-5.295,209.713,-17.861,  0.165,   2.97,  -1.25,,,     32,    1241
Teutsch 145,280.622,-5.25,27.241,-0.408,  0.105,  -1.68,  -7.66,,,     32,    1762
FSR 1106,98.632,-5.245,215.693,-6.143,  0.150,  -0.97,  -1.23,,,     92,    2038
NGC 6704,282.687,-5.21,28.214,-2.22,  0.110,  -0.98,  -2.67,,,     58,    2180
FSR 1176,116.138,-5.16,223.7,9.356,  0.155,  -1.89,   1.21,,,     90,    2398
FSR 1157,110.655,-5.115,221.061,4.565,  0.090,  -2.38,  -0.17,,,     14,     926
NGC 2250,98.422,-5.08,215.45,-6.255,  0.165,  -0.24,  -1.55,,,     94,    1338
Bochum 3,105.87,-5.005,218.758,0.389,  0.155,   0.50,   2.14,,,    162,    2151
IRAS 18306-0500,278.334,-4.971,26.443,1.745,  0.090,  -2.00,  -3.00,   28.34,,     19,    2023
FSR 1129,104.692,-4.93,218.154,-0.62,  0.135,  -0.11,   1.31,,,     74,    1881
Andrews-Lindsay 5,281.085,-4.93,27.736,-0.672,  0.115,   2.59,  -6.33,,,     70,    2289
BDSB 90,104.91,-4.86,218.191,-0.395,  0.075,   0.85,  -0.34,   41.00,,     40,    2661
NGC 6682,279.912,-4.8,27.317,0.427,  0.110,   1.90,  -6.03,,,     52,    1304
NGC 2232,96.99,-4.795,214.546,-7.401,  0.380,  -4.15,  -2.43,   19.85,    4.54,    110,     330
NGC 2219,95.933,-4.695,213.976,-8.297,  0.145,  -1.53,  -1.98,,,     64,    2325
Berkeley 39,116.707,-4.68,223.548,10.085,  0.150,  -2.50,  -1.01,   55.00,    0.52,     76,    4836
Sh2 287C,104.903,-4.667,218.016,-0.314,  0.060,  -0.01,   1.96,,,     23,    3344
NGC 2311,104.445,-4.61,217.757,-0.693,  0.235,  -0.85,   2.89,,,    134,    2221
BDSB 88,103.642,-4.53,217.321,-1.369,  0.085,   0.73,   0.69,,,     42,    1791
ASCC 27,103.485,-4.39,217.125,-1.445,  0.240,  -1.84,  -2.60,,,    193,    1159
Dolidze 33,280.308,-4.373,27.878,0.271,  0.140,  -2.30,  -5.00,,,     97,    1930
Dolidze 34,280.474,-4.267,28.048,0.172,  0.075,  -1.28,  -3.98,    7.00,,     37,    1422
Trumpler 35,280.748,-4.23,28.205,-0.053,  0.140,  -3.54,  -4.52,   -4.70,    0.70,    117,    1273
Czernik 26,97.755,-4.215,214.371,-6.459,  0.115,  -1.69,   0.90,,,     75,    7655
FSR 0076,274.942,-4.215,25.546,5.091,  0.100,   3.45,  -7.71,,,    171,    5325
FSR 0088,282.659,-4.188,29.112,-1.73,  0.190,  -0.73,  -4.61,,,    199,    2837
FSR 0077,275.033,-4.086,25.702,5.072,  0.090,   3.46,  -8.60,,,     70,    3497
Ivanov 9,104.933,-4.067,217.496,-0.013,  0.110,   0.44,   3.48,   42.44,,     60,    2839
Dolidze 32,280.305,-4.035,28.177,0.429,  0.170,  -0.25,  -3.60,   14.00,,     54,    1381
IRAS 06567-0355,104.82,-3.97,217.358,-0.068,  0.150,   0.41,   4.36,   39.64,,    143,    1943
FSR 0073,273.804,-3.925,25.271,6.231,  0.115,  -1.36,  -7.57,,,    109,    4429
FSR 1099,98.625,-3.84,214.429,-5.515,  0.140,  -0.54,  -0.25,,,     91,    1952
BDSB 10,281.583,-3.795,28.973,-0.596,  0.080,  -0.34,  -2.05,,,     26,     818
IRAS 06562-0337,104.683,-3.685,217.043,-0.059,  0.100,   0.51,   2.57,   53.00,,     21,    6091
FSR 0087,281.483,-3.607,29.094,-0.421,  0.145,  -0.28,  -6.48,,,     97,    1174
FSR 0090,282.575,-3.577,29.618,-1.377,  0.085,  -0.29,  -3.68,,,     54,    1388
FSR 0112,302.108,-3.543,38.691,-18.724,  0.130,   1.84,  -4.54,,,     48,    1221
MWSC 5745,305.272,-3.53,40.264,-21.516,  0.140,  -0.22,  -5.27,,,     39,    1639
FSR 0089,282.183,-3.519,29.492,-1.003,  0.125,  -1.09,  -2.82,,,     85,    1516
NGC 2184,92.828,-3.42,211.405,-10.484,  0.180,  -2.70,  -1.31,,,     27,     621
MWSC 5337,256.853,-3.335,17.281,21.288,  0.125,  -5.61,  -5.00,,,     36,    1791
FSR 1027,84.078,-3.28,207.154,-18.189,  0.165,  -4.07,   3.23,,,     62,    2325
Berkeley 77,110.362,-3.233,219.252,5.182,  0.155,  -2.77,  -6.16,,,     57,    4699
NGC 2286,101.913,-3.155,215.31,-2.28,  0.195,   0.21,  -1.15,,,    202,    1964
FSR 0078,273.745,-3.155,25.929,6.642,  0.100,  -2.09,  -2.94,,,     28,    2971
Wit 2,105.341,-3.117,216.837,0.784,  0.160,  -5.15,   0.10,   22.90,,    177,    2830
FSR 1017,83.029,-3.035,206.413,-19.004,  0.085,   1.40,  -1.18,,,      8,    2127
FSR 1142,111.278,-2.9,219.382,6.145,  0.095,  -2.12,  -6.39,,,     31,    1905
FSR 1139,111.138,-2.884,219.303,6.029,  0.115,  -1.89,  -8.23,,,     43,    1964
FSR 1092,99.424,-2.819,213.879,-4.341,  0.160,  -1.48,  -1.89,,,    109,    1922
BDSB 125,281.517,-2.655,29.957,-0.017,  0.065,   1.29,  -8.99,   83.28,,     46,    6699
FSR 1152,115.043,-2.085,220.429,9.852,  0.130,  -2.39,   3.06,,,     39,    1824
ASCC 19,81.922,-1.965,204.863,-19.48,  0.520,   0.28,  -0.59,   19.80,    3.17,    114,     314
FSR 1082,100.028,-1.745,213.195,-3.316,  0.165,   2.42,   1.83,,,    130,    4040
FSR 1056,94.47,-1.69,210.601,-8.235,  0.180,   0.54,  -1.31,,,     88,    2589
ASCC 29,103.582,-1.69,214.766,-0.127,  0.210,  -0.18,   0.07,   13.50,   10.00,     91,     826
FSR 1111,107.025,-1.528,216.195,3.007,  0.125,   2.07,  -1.04,,,     59,    1544
FSR 1113,107.287,-1.5,216.29,3.253,  0.110,   1.12,  -4.78,,,     15,    5805
Berkeley 80,283.582,-1.217,32.178,-1.198,  0.120,  -1.08,  -5.11,,,    101,    1791
Berkeley 79,281.235,-1.155,31.163,0.919,  0.110,  -0.16,  -7.02,,,     86,    2434
Alessi 60,105.626,-1.117,215.188,1.951,  0.100,  -1.60,  -0.28,,,     81,    2610
FSR 1145,115.629,-1.037,219.767,10.861,  0.165,  -1.81,  -1.60,,,     40,    1292
FSR 0094,282.469,-1.022,31.845,-0.119,  0.085,   0.99,  -6.71,,,     34,    2069
Berkeley 37,110.078,-0.994,217.125,5.964,  0.125,   6.88,  -4.60,,,     47,    4815
King 23,110.447,-0.983,217.286,6.296,  0.140,   4.69,  -6.13,,,     70,    3211
NGC 6775,289.2,-0.922,35.008,-6.062,  0.115,   2.28,  -7.45,,,     50,    2004
FSR 1077,100.515,-0.883,212.649,-2.489,  0.170,   0.83,  -0.07,,,    116,    1298
Berkeley 24,99.45,-0.867,212.149,-3.43,  0.160,   2.07,   1.35,,,    213,    5527
FSR 1118,110.213,-0.844,217.054,6.152,  0.140,   6.15,  -3.64,,,     57,    2089
FSR 1065,99.019,-0.667,211.773,-3.721,  0.125,   1.06,  -1.19,,,    112,    1551
MWSC 5740,303.925,-0.63,42.31,-18.959,  0.135,   0.88,  -3.47,,,     32,    2255
Patchick 90,101.157,-0.56,212.654,-1.771,  0.085,  -0.44,  -2.28,,,     57,    6365
NGC 6735,285.135,-0.47,33.551,-2.239,  0.155,   1.14,  -3.86,,,    177,    2213
Berkeley 81,285.405,-0.46,33.684,-2.475,  0.110,  -0.99,  -8.59,   13.00,    4.24,    101,    3401
FSR 1063,98.658,-0.267,211.251,-3.861,  0.175,   2.96,   0.15,,,    153,    2032
Berkeley 34,105.09,-0.235,214.159,1.878,  0.110,  -2.68,  -2.16,,,     58,    7279
FSR 1085,103.309,-0.19,213.306,0.314,  0.100,  -0.87,   0.39,,,     88,    1429
ASCC 28,103.575,-0.15,213.392,0.568,  0.270,  -2.39,  -0.30,   22.70,    1.80,    204,     946
MWSC 4288,251.048,-0.135,17.007,27.909,  0.350,  -0.10,  -7.85,,,     87,    1994
FSR 1100,105.99,-0.085,214.436,2.747,  0.120,  -1.00,  -0.37,,,     68,    1923
FSR 0100,285.969,-0.022,34.331,-2.777,  0.090,   1.56,  -3.61,,,     59,    2687
Dolidze 49,101.76,-0.01,212.439,-0.983,  0.120,  -1.06,  -2.17,,,    102,    2398
ASCC 41,116.745,0.02,219.345,12.342,  0.260,   1.76,  -3.43,,,     31,     397
FSR 1072,101.883,0.03,212.46,-0.855,  0.120,  -1.29,  -3.13,,,    102,    2204
FSR 0080,269.159,0.058,26.641,12.196,  0.150,   1.21,  -3.62,,,     92,    3260
Dolidze 23,100.657,0.1,211.838,-1.914,  0.210,   2.05,  -0.94,,,    189,    1195
Teutsch 146,282.863,0.175,33.089,0.077,  0.075,   0.96,  -5.01,,,     61,    4427
Berkeley 20,83.154,0.183,203.488,-17.376,  0.145,  -1.62,  -4.26,   75.70,    1.30,     13,    8399
SAI 72,103.95,0.222,213.232,1.072,  0.095,  -1.47,  -0.57,,,     57,    3239
Dolidze 25,101.28,0.24,211.998,-1.296,  0.120,   0.70,  -2.31,   77.40,   14.10,     82,    2800
Bochum 2,102.21,0.38,212.298,-0.405,  0.100,   1.37,  -3.01,   67.03,    2.06,     33,    2778
MWSC 5748,307.242,0.4,44.983,-21.359,  0.150,   1.25,  -3.05,,,     31,    1388
NGC 2112,88.433,0.413,205.867,-12.618,  0.620,  -9.00,   3.00,   39.00,    9.23,    584,     977
MWSC 5022,124.1,0.45,222.565,19.026,  0.130,   3.36,  -2.50,,,     29,    1308
