source_id,l,b,ra,dec,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist_pc,mu_l,mu_b,x,y,z
6.67534E+16,166.6234474,-22.813844,57.31309659,24.60609712,20.22947738,0.73960109,-45.00172869,0.506307277,,,7.433483899,0.445742592,19.33303,20.929016,17.799809,134.5264231,-0.311618712,5.125127935,-120.6381521,28.68809502,-52.16117307
6.15547E+16,165.3650215,-27.12094477,53.27436936,22.13405364,22.24852611,0.085227356,-45.90228474,0.068489817,6.446643696,0.983969063,7.433992836,0.042641445,11.1998415,11.642237,10.626649,134.5172133,-0.105423291,6.08054331,-115.8419125,30.25030366,-61.32251722
6.51195E+16,165.8777731,-24.99086448,55.16450187,23.44287282,21.98196448,0.573833003,-43.80781853,0.527852214,,,7.434519014,0.313886142,18.596163,20.722057,17.200687,134.5076928,0.013608053,4.797316019,-118.229762,29.74623485,-56.82608849
6.57728E+16,168.7220102,-21.95286877,59.50825385,23.89834359,19.15881008,0.337377482,-47.31482105,0.158728357,,,7.434599716,0.176252444,17.216436,19.088934,15.893812,134.5062328,-0.679580632,6.39095449,-122.3443177,24.39812879,-50.28444981
6.49808E+16,166.9705975,-23.97849651,56.70879498,23.53208765,20.96627152,0.176077645,-44.89340594,0.115691123,,,7.435068512,0.092160109,16.317553,17.93234,15.033423,134.4977519,-0.204587607,5.20130542,-119.7263614,27.70593322,-54.65917054
6.52964E+16,166.0545964,-23.48199422,56.3936837,24.46311329,18.40292821,0.118352189,-45.91119455,0.072653691,,,7.435439811,0.069586627,8.540198,8.74272,8.237227,134.4910356,-0.635410345,5.361211169,-119.7173719,29.72795584,-53.58953399
6.36273E+16,169.6545006,-25.07739429,57.81933186,21.05954098,20.14115482,0.240783696,-44.64933079,0.110603133,,,7.436380564,0.106059037,16.372671,18.045088,15.103936,134.4740215,-0.29315383,4.906488841,-119.8177767,21.87308694,-56.99588502
6.4094E+16,168.3470077,-23.98662691,57.70410283,22.6698468,17.37926299,0.153812461,-44.61576087,0.078823199,,,7.436463781,0.068254386,14.987151,16.291393,13.815255,134.4725167,-0.631630158,4.4588642,-120.3271483,24.81581703,-54.66635485
6.51811E+16,166.4313131,-24.30922613,56.0686536,23.61763736,22.29703892,0.170822218,-47.81012279,0.107055587,,,7.436534038,0.08014465,15.820007,17.492344,14.5565195,134.4712463,-0.261260166,7.370736273,-119.1281122,28.75142081,-55.35670471
6.51259E+16,165.8019296,-24.84443798,55.21372986,23.59822552,21.34153669,0.080783079,-45.61542753,0.060647021,4.895434794,0.921043262,7.438521089,0.047084827,12.457087,13.090909,11.713939,134.435325,-0.212401868,5.707820887,-118.2670225,29.92212664,-56.48392974
